Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),,,,,Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Sleep duration (ms),Light sleeping duration (ms),Deep sleeping duration (ms),Awake mid-sleeping duration (ms)
10/27/19,68,1981.096142,2597.742737,8,8,,,,,,,,6.55584371,35.84938812,0.063543439,6361,,,,,63589360,2456739,67178,,,,
10/28/19,160,2300.087763,8864.276317,81,81,,,,,,,,1.353728297,28.04000092,0.251818627,14914,,,,,74581048,7163100,,,,,
10/29/19,39,1864.462591,1906.946027,,,,,,,,,,0.987803999,17.73574448,0.130098313,3426,,,,,80343980,1174052,,,,,
10/30/19,97,2150.314947,7474.619461,32,32,,,,,,,,1.527377952,29.12999916,0.050161183,9216,,,,,74202980,4884718,,,,,
10/31/19,12,1792.389449,765.4133382,,,,,,,,,,0.771349848,2.008715153,0.253579199,1638,,,,,86224765,175235,,,,,
11/1/19,137,2053.553021,8227.41333,41,35,,,,,,,,1.519481431,28.93000031,0.23339282,12331,,,,,79000998,3814787,,,,,
11/2/19,62,1850.461583,2987.341355,,,,,,,,,,1.716689548,21.29999924,0.259991139,5204,,,,,77868752,994511,,,,,
11/3/19,3,1854.166569,441.3816447,,,,,,,,,,0.806330553,1.916271329,0.253579199,1168,,,,,90000000,,,,,,
11/4/19,207,2413.068263,11118.6688,60,59,,,,,,,,0.947994144,24.30999947,0.13055025,17748,,,,,73093519,8511914,141255,,,,
11/5/19,7,1780.005201,525.7596936,,,,,,,,,,0.629719974,4.096057892,0.258369297,1389,,,,,86399923,77,,,,,
11/6/19,118,2178.601582,7631.427075,60,60,,,,,,,,1.531484382,26.10844421,0.218409821,12023,,,,,73893797,5567749,,,,,
11/7/19,43,1916.18047,3058.81086,12,12,,,,,,,,0.879034664,15.23674297,0.135947883,5072,,,,,83113522,1926078,,,,,
11/8/19,144,2269.694148,8724.092679,56,56,,,,,,,,1.677125885,23.45631981,0.025766551,12894,,,,,72934823,6902694,,,,,
11/9/19,47,1867.937357,2393.767978,4,4,,,,,,,,0.874310465,21.68042755,0.037309755,4339,,,,,83526175,1233303,,,,,
11/10/19,11,1798.613342,811.54749,,,,,,,,,,0.868800355,23.39894867,0.166946143,1790,,,,,82360296,263261,,,,,
11/11/19,131,2242.445628,8028.694394,56,56,,,,,,,,1.778309642,26.67000008,0.181737095,12049,,,,,69652503,6295812,62021,,,,
11/12/19,34,1930.991933,1943.48601,,,,,,,,,,0.858075191,2.849999905,0.231881082,3354,,,,,84156289,1997844,61009,,,,
11/13/19,112,2175.579577,7882.278526,59,59,,,,,,,,1.167295281,26.04000092,0.247265488,11341,,,,,76570170,5523212,,,,,
11/14/19,28,1849.016717,1635.084733,2,2,,,,,,,,0.748077445,17.93619919,0.247418761,2965,,,,,83261597,976144,,,,,
11/15/19,129,2235.523588,8667.85579,61,61,,,,,,,,1.118214989,29.05999947,0,12802,,,,,74400930,6434776,,,,,
11/16/19,68,1958.966639,4287.048288,22,22,,,,,,,,0.791860329,19.29763794,0.258272558,6452,,,,,80777320,2531224,,,,,
11/17/19,51,1891.659148,2359.626749,,,,,,,,,,0.974283723,19.84000015,0.237062499,4288,,,,,81263209,1579258,,,,,
11/18/19,141,2253.360045,8327.767897,73,73,,,,,,,,1.113236276,23.53240776,0.248006076,13546,,,,,74423542,6694988,,,,,
11/19/19,21,1806.849832,1130.737141,,,,,,,,,,0.670176447,18.85570145,0.256010562,2222,,,,,84020563,379755,,,,,
11/20/19,135,2148.994699,7724.207626,49,49,,,,,,,,1.050266861,22.70111084,0.247897685,12333,,,,,78751088,5214228,,,,,
11/21/19,55,1921.258246,3488.306355,20,20,,,,,,,,0.707671958,2.439520597,0.237168893,5629,,,,,84402108,1997892,,,,,
11/22/19,155,2265.265033,9628.416309,49,49,,,,,,,,1.703845963,21.73999977,0.009785294,13973,,,,,74929176,6706428,,,,,
11/23/19,18,1793.219438,1156.837426,,,,,,,,,,0.752673414,2.387892008,0.253579199,2436,,,,,86213028,186972,,,,,
11/24/19,13,1780.007039,982.1082159,,,,,,,,,,0.774711333,3.955650806,0.236672297,2145,,,,,86399899,101,,,,,
11/25/19,65,1819.723335,2895.436879,1,1,,,,,,,,0.936984802,20.06999969,0.257406384,4947,,,,,81302536,561831,,,,,
11/26/19,2,1789.634406,255.3860075,,,,,,,,,,0.780813939,1.133127213,0.338306814,704,,,,,86143611,136266,,,,,
11/27/19,5,1793.648352,423.2402556,,,,,,,,,,1.306820614,4.220628738,0.255416751,1264,,,,,86086477,193040,,,,,
11/28/19,20,1784.116941,1097.721284,,,,,,,,,,0.67558811,2.01960063,0.251284033,2234,,,,,86341768,58232,,,,,
11/29/19,79,1945.495296,3523.958367,3,3,,,,,,,,1.233387926,3.348569632,0.252179563,5636,,,,,81649453,2340692,,,,,
11/30/19,35,1815.031701,1712.596939,,,,,,,,,,0.892323154,15.48112583,0.252485275,3421,,,,,83416856,495462,,,,,
12/1/19,5,1780.010523,302.5105196,,,,,,,,,,0.677578111,2.431370258,0.278743446,908,,,,,86399850,150,,,,,
12/2/19,133,2236.660228,8154.732834,71,71,,,,,,,,2.194971228,29.01000023,0.191109434,13160,,,,,67634125,5897334,246502,,,,
12/3/19,43,1909.313597,2378.745266,6,6,,,,,,,,0.92222041,20.19398689,0.246342599,4511,,,,,79829840,1682969,64671,,,,
12/4/19,125,2174.040576,7989.865811,56,56,,,,,,,,0.922938746,8.869495392,0.249867216,11722,,,,,75933502,5572832,,,,,
12/5/19,54,1835.813535,2494.432927,1,1,,,,,,,,0.544595353,17.19172287,0.243274912,4378,,,,,85303687,789406,,,,,
12/6/19,146,2235.313207,9163.467841,72,72,,,,,,,,1.781628417,30.29000092,0.300640494,13818,,,,,74585193,6433848,,,,,
12/7/19,63,1895.870888,3069.308466,1,1,,,,,,,,1.100778936,16.37742424,0.240808368,5039,,,,,83021942,1638577,,,,,
12/8/19,3,1784.517277,484.7339197,,,,,,,,,,0.952021858,3.373996019,0.255316317,1189,,,,,86336106,63894,,,,,
12/9/19,156,2364.567616,10574.09433,74,74,,,,,,,,1.322620095,23.54000092,0.173796564,14967,,,,,73878756,7387420,240343,,,,
